feature,rank,osm_h3_cell_id,osm_h3_cell_id_hex,lat,lon,state_fips,tract_geoid,value,p99,p999,value_over_p99,neighbor_cells_present,neighbor_median,value_over_neighbor_median
osm_commercial_residential_mix_ratio,14,617668697992462335,892666884b7ffff,41.644972991727975,-88.62276630726048,17,17037002100,16.0,0.0,1.0,0.0,6,0.26785714285714285,59.733333333333334
osm_commercial_residential_mix_ratio,15,617676035874619391,8926d150093ffff,35.21753626145931,-101.8339098287113,48,48375014800,15.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,16,617707506359336959,89289b44ba3ffff,48.195369673396335,-114.31207325014095,30,30029001000,15.0,0.0,1.0,0.0,6,0.325,46.15384615384615
osm_commercial_residential_mix_ratio,17,617674951588839423,8926c188c1bffff,35.49308242151407,-97.55710268222501,40,40109102000,15.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,18,617674952120729599,8926c18abcfffff,35.50318316078782,-97.53411094673889,40,40109100800,15.0,0.0,1.0,0.0,6,2.0,7.5
osm_commercial_residential_mix_ratio,19,618204830968315903,8944e04b44bffff,30.44618659032272,-84.28131582495291,12,12073000200,15.0,0.0,1.0,0.0,6,3.416666666666667,4.390243902439024
osm_commercial_residential_mix_ratio,20,617676035868327935,8926d150033ffff,35.20239150661338,-101.83229730324797,48,48375015400,15.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,21,618204988620406783,8944e296917ffff,30.429359638639497,-84.27961309204218,12,12073000400,15.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,22,617674951634714623,8926c188ed7ffff,35.49153980837809,-97.58219476587392,40,40109102100,14.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,23,617676035957719039,8926d150587ffff,35.22128704636034,-101.80478746117947,48,48375012200,14.0,0.0,1.0,0.0,6,1.0,14.0
osm_commercial_residential_mix_ratio,24,617676035971350527,8926d150657ffff,35.221055718969,-101.8692489406422,48,48375015300,14.0,0.0,1.0,0.0,6,0.0,0.0
osm_commercial_residential_mix_ratio,25,617668576010567679,892664c1e07ffff,41.89310868786125,-87.62340521229784,17,17031081403,14.0,0.0,1.0,0.0,6,2.75,5.090909090909091
