nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
," -77.0961)""",,,,278
40A,4004,Crime Against Society,Prostitution,COMM SEX OFF - PROSTITUTION,277
," -77.1091)""",,,,277
," -77.2158)""",,,,276
," -77.1052)""",,,,275
," -77.0011)""",,,,274
," -77.1984)""",,,,273
," -77.1223)""",,,,272
," -77.2499)""",,,,272
," -77.1099)""",,,,272
," -77.1822)""",,,,272
," -77.2041)""",,,,272
," -76.9972)""",,,,270
," -76.9982)""",,,,270
," -76.9767)""",,,,270
," -77.1911)""",,,,270
," -76.9723)""",,,,269
," -77.1019)""",,,,269
," -77.1596)""",,,,269
," -77.1572)""",,,,269
," -77.2169)""",,,,268
," -77.1644)""",,,,267
," -77.1914)""",,,,266
," -76.9876)""",,,,266
," -77.2071)""",,,,266
," -77.0402)""",,,,265
200,2007,Crime Against Property,Arson,ARSON - BURNING OF - (IDENTIFY OBJECT),265
," -77.0165)""",,,,265
," -77.1647)""",,,,265
," -76.995)""",,,,265
," -77.0398)""",,,,264
," -77.1548)""",,,,264
," -77.2731)""",,,,264
," -77.0321)""",,,,264
," -77.0809)""",,,,264
," -77.1898)""",,,,263
," -76.9907)""",,,,263
90C,5399,Crime Against Society,Disorderly Conduct,PUBLIC PEACE (DESCRIBE OFFENSE),262
," -77.1061)""",,,,262
," -77.0408)""",,,,262
," -77.2529)""",,,,261
," -77.1618)""",,,,261
," -77.0291)""",,,,260
," -77.0311)""",,,,259
," -77.1065)""",,,,259
," -77.1569)""",,,,259
," -77.2787)""",,,,258
," -77.0876)""",,,,258
," -76.9849)""",,,,258
," -77.0938)""",,,,257
," -77.0796)""",,,,257
," -77.1168)""",,,,257
," -76.9411)""",,,,257
," -77.2668)""",,,,257
," -77.2687)""",,,,257
," -77.1675)""",,,,257
," -77.2612)""",,,,256
," -77.2044)""",,,,256
," -77.1481)""",,,,256
," -77.2125)""",,,,255
," -77.0449)""",,,,255
," -77.0292)""",,,,255
," -77.0924)""",,,,254
," -77.1708)""",,,,254
," -77.0795)""",,,,254
," -77.0756)""",,,,253
," -77.2766)""",,,,252
," -77.1643)""",,,,252
," -77.1447)""",,,,252
," -77.0858)""",,,,251
35A,3520,Crime Against Society,Drug/Narcotic Violations,DRUGS - OPIUM OR DERIVATIVE - SELL,251
," -77.1082)""",,,,251
," -77.175)""",,,,249
," -77.1901)""",,,,248
," -77.1929)""",,,,248
," -77.1379)""",,,,248
," -77.037)""",,,,247
," -77.1928)""",,,,247
," -77.0723)""",,,,246
," -77.0002)""",,,,246
210,2103,Crime Against Property,Extortion/Blackmail,EXTORT - THREAT INJURE REPUTATION,246
," -77.0915)""",,,,246
," -77.0302)""",,,,245
," -77.2046)""",,,,245
," -77.2277)""",,,,245
," -77.0958)""",,,,244
," -77.0026)""",,,,244
," -77.1904)""",,,,243
," -77.0318)""",,,,243
," -77.1517)""",,,,242
35A,3533,Crime Against Society,Drug/Narcotic Violations,DRUGS - COCAINE (DESCRIBE OFFENSE),242
," -77.1229)""",,,,242
," -77.0175)""",,,,242
," -77.0975)""",,,,241
," -77.2388)""",,,,240
," -77.1284)""",,,,240
," -77.1897)""",,,,239
," -77.222)""",,,,238
," -77.1655)""",,,,238
," -77.1322)""",,,,237
," -77.1609)""",,,,237
90Z,3612,Crime Against Society,All Other Offenses,SEX OFFENSE - FAILURE TO REGISTER AS A SEX OFFENDE,237
," -77.2012)""",,,,235
," -77.0317)""",,,,235
11A,1115,Crime Against Person,Forcible Rape,SEX ASSAULT - SODOMY-WOMAN-STRONG-ARM,235
," -77.0769)""",,,,235
," -76.9952)""",,,,234
," -77.093)""",,,,234
," -77.1009)""",,,,234
," -77.1977)""",,,,234
," -77.2651)""",,,,233
," -77.062)""",,,,233
," -77.15)""",,,,233
," -77.0363)""",,,,233
," -76.9833)""",,,,233
," -77.028)""",,,,233
35A,3599,Crime Against Society,Drug/Narcotic Violations,DRUGS - DANGEROUS (DESCRIBE OFFENSE),232
," -77.0495)""",,,,232
," -77.0487)""",,,,231
," -77.1989)""",,,,231
," -77.117)""",,,,231
," -77.1084)""",,,,231
," -77.2021)""",,,,231
," -77.1691)""",,,,230
," -76.988)""",,,,230
," -77.2106)""",,,,229
," -77.0661)""",,,,229
," -77.2658)""",,,,229
," -77.0758)""",,,,229
," -77.0024)""",,,,229
250,2504,Crime Against Property,Counterfeiting/Forgery,FORGERY - PASS FORGED,229
," -77.0627)""",,,,229
," -77.0542)""",,,,228
," -77.1293)""",,,,228
," -77.1528)""",,,,227
," -77.094)""",,,,226
," -77.1163)""",,,,226
," -77.1867)""",,,,226
," -77.1073)""",,,,226
," -77.0951)""",,,,225
," -77.0496)""",,,,225
," -77.2009)""",,,,225
," -77.2062)""",,,,225
," -77.2521)""",,,,225
," -77.0671)""",,,,225
," -77.2357)""",,,,224
," -77.0054)""",,,,223
," -77.0504)""",,,,222
," -77.2007)""",,,,222
," -77.205)""",,,,222
," -77.1582)""",,,,221
," -76.9617)""",,,,220
," -77.1277)""",,,,220
," -76.9904)""",,,,220
," -76.9911)""",,,,220
," -77.0675)""",,,,220
," -77.1117)""",,,,219
," -77.071)""",,,,219
," -77.2084)""",,,,219
," -77.2011)""",,,,219
," -76.9998)""",,,,219
," -77.268)""",,,,218
," -77.2618)""",,,,218
," -77.046)""",,,,218
," -77.2339)""",,,,218
," -77.2182)""",,,,218
," -77.0521)""",,,,218
90Z,1602,Crime Against Society,All Other Offenses,THREAT - TERRORISTIC - STATE OFFENSES,217
," -76.9955)""",,,,217
," -77.2013)""",,,,217
," -77.1505)""",,,,216
," -77.0444)""",,,,216
," -77.1054)""",,,,216
," -77.2075)""",,,,216
," -77.0927)""",,,,215
," -77.1227)""",,,,215
," -77.065)""",,,,215
," -77.1955)""",,,,215
," -77.219)""",,,,215
," -77.1013)""",,,,215
," -77.0632)""",,,,214
," -77.21)""",,,,214
," -77.2065)""",,,,214
," -77.1756)""",,,,213
," -77.0885)""",,,,213
," -77.0946)""",,,,213
," -77.2786)""",,,,213
," -77.1201)""",,,,212
," -77.0898)""",,,,210
," -77.1228)""",,,,210
," -77.1475)""",,,,210
," -77.2098)""",,,,209
," -77.0889)""",,,,209
," -77.1645)""",,,,209
," -77.1909)""",,,,209
," -77.2266)""",,,,209
