offense_desc,offense,nature_of_call,geocodescore,source_file_uri
PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k 2,240,AUTO THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 31.03(e)(2)(A)  Theft Property >=$100<$750,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 31.03 Theft under $20K/Alum/Brz/Copper 23H ALL ,23H,THEFT RECYCLE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 30.04(A) Burglary Vehicle 23F THEFT FROM MOTOR ,23F,BURGLARY VEHICLE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 28.03(B)(3) Crim Misc>$500<$1500,290,CRIMINAL MISCHIEF,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 30.04(A) Burglary Vehicle 23F THEFT FROM MOTOR ,23F,BURGLARY VEHICLE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
GC 039 Criminal Mischief under $100/Subst Inconven,290,CRIMINAL MISCHIEF,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
GC  085-07 Theft under $100,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 30.02(C)(2) Burglary Habitation 220 BURGLARY/BR,220,BURGLARY RESIDENTIAL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 22.01(A)(1) Assault Causes Bodily Injury,13B,ASSAULT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 31.03(E)(5)  2015 Theft>=$30k<$150k,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 25.03 Interfer W/Child Custody,90F,PENALCODE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
