report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Vehicle Supplement,"Theft, False Pretenses, Felony",Fraud,VS,Fraud,10125,2
Initial,Violation of Civil Gang Injunction,Other,II,Offences Against The Family And Children,15163,2
Initial,"Embezzlement, Grand Theft By Collector",Embezzlement,II,Embezzlement,10035,2
Initial Supplement,Disturbing Religious Meetings,Disorderly Conduct,IS,Disorderly Conduct,19025,2
Initial,"Contraband, Taking Into A Reformatory",Other,II,Other Miscellaneous,26190,2
Vehicle Supplement,Found Person,Missing Person,VS,Missing Person,75000,2
Initial Supplement,"Assault, Aggravated, W/ Machine Gun",Aggravated Assault,IS,Assault,04090,2
Vehicle Initial,Property for Identification,Non-Criminal,VI,Non-Criminal,73000,2
Initial Supplement,"Assault, Att. Mayhem, W/ Knife",Aggravated Assault,IS,Assault,04052,2
Vehicle Supplement,"Embezzlement, Grand Theft",Embezzlement,VS,Embezzlement,10015,2
Initial Supplement,"Robbery,  ATM, Knife, Att.",Robbery - Other,IS,Robbery,03492,2
Initial Supplement,Lodging in Park,Loitering,IS,Disorderly Conduct,19062,2
Vehicle Initial,Forgery & Counterfeiting (general),Forgery And Counterfeiting,VI,Forgery And Counterfeiting,09262,2
Vehicle Initial,"Theft, Motorcycle Strip, >$950",Larceny - Auto Parts,VI,Larceny Theft,06214,2
Initial,"Burglary, Warehouse Under Constr, Att. Forcible",Burglary - Commercial,II,Burglary,05162,2
Initial Supplement,Escapes,Other,IS,Other Miscellaneous,26177,2
Initial,"Disaster Area, Entering or Remaining in",Other,II,Other Miscellaneous,27196,2
Vehicle Initial,"Warrant Arrest, Enroute To Parole",Warrant,VI,Warrant,62030,2
Vehicle Initial,"Cocaine, Possession For Sale",Drug Violation,VI,Drug Offense,16622,2
Initial,"Indecent Exposure, Prostitution Related",Prostitution,II,Sex Offense,14041,2
Initial Supplement,Obscene Matter (general),Sex Offense,IS,Sex Offense,14060,2
Vehicle Initial,"Theft, From Locked Vehicle, $50-$200",Larceny - From Vehicle,VI,Larceny Theft,06242,2
Initial Supplement,"Rape, Att., W/ Force",Rape - Attempted,IS,Rape,02204,2
Initial,Money Laundering,Fraud,II,Fraud,09022,2
Vehicle Supplement,"Theft, Bicycle, <$50, serial number known",Larceny Theft - Bicycle,VS,Larceny Theft,06315,2
Vehicle Supplement,"Firearm, Loaded, in Vehicle, Possession or Use",Weapons Offense,VS,Weapons Carrying Etc,12168,2
Initial Supplement,Gun Violence Restraining Order Violation,,IS,,15165,2
Initial Supplement,"Vehicle, Stolen, Mobile Home or House Trailer",Motor Vehicle Theft,IS,Motor Vehicle Theft,07024,2
Initial,"Chop Shop, Own or Operate",Other,II,Other Miscellaneous,07204,2
Vehicle Supplement,Traffic Collision,Traffic Collision,VS,Traffic Collision,68050,2
Initial,"Disturbance of Non-religious, Non-political Assembly",Disorderly Conduct,II,Disorderly Conduct,19026,2
Initial Supplement,"Theft, Grand, by Fiduciary, >$950 in 12 months",Larceny Theft - Other,IS,Larceny Theft,06391,2
Vehicle Initial,"Burglary, Residence Under Constr, Unlawful Entry",Burglary - Residential,VI,Burglary,05143,2
Initial,"Robbery, Att., Service Station, W/ Knife",Robbery - Commercial,II,Robbery,03432,2
Initial Supplement,"Theft, Motorcycle Strip, $200-$950",Larceny - Auto Parts,IS,Larceny Theft,06213,2
Vehicle Initial,"Burglary, Other Bldg. Under Constr., Forcible Entry",Burglary - Other,VI,Burglary,05171,2
Initial,"Jail Property, Destroying (SFPD only)",Vandalism,II,Malicious Mischief,28060,2
Vehicle Initial,"Theft, Shoplifting, >$950",Larceny Theft - Shoplifting,VI,Larceny Theft,06364,2
Vehicle Supplement,"Burglary, Apt Under Constr., Forcible Entry",Burglary - Residential,VS,Burglary,05111,2
Initial Supplement,"Malicious Mischief, Annoying/Fictitious Phone Calls",Vandalism,IS,Malicious Mischief,28130,2
Initial Supplement,"Weapon, Assault, Registration or Transfer Violation",Weapons Offense,IS,Weapons Carrying Etc,12172,2
Initial,"Theft, By Prostitute, $50-$200",Larceny Theft - Other,II,Larceny Theft,06142,2
Initial Supplement,"Hallucinogenic, Transportation",Drug Violation,IS,Drug Offense,16440,2
Vehicle Supplement,Evading a Police Vehicle or Bicycle,Other,VS,Other Miscellaneous,27177,2
Initial Supplement,"Access Card Information, Publication of",Fraud,IS,Fraud,09165,2
Initial,"Lasers, Discharging or Lights at Aircraft",Aggravated Assault,II,Assault,04085,2
Initial,"Balloons, Electrically Conductive",Vandalism,II,Malicious Mischief,28103,2
Initial,"Embezzlement, Petty Theft Private Property",Embezzlement,II,Embezzlement,10070,2
Initial,"Dead Body, Removing Items from",Larceny Theft - Other,II,Larceny Theft,06157,2
Initial,"Rape, Assault To, W/ Sharp Object",Rape - Attempted,II,Rape,02102,2
Initial,Money Offense Related to Narcotics Trafficking,Drug Violation,II,Drug Offense,16760,2
Initial Supplement,"Robbery, Att., Bank, W/ Knife",Robbery - Commercial,IS,Robbery,03462,2
Initial,"Embezzlement, Petty Theft By Brokers/Agents",Embezzlement,II,Embezzlement,10020,2
Vehicle Initial,"Battery, former Spouse or Dating Relationship",Simple Assault,VI,Assault,04138,2
Vehicle Initial,False Imprisonment,Simple Assault,VI,Assault,04170,2
Vehicle Supplement,Restraining Order Notification/Service of Restraining Order,Other,VS,Offences Against The Family And Children,15155,2
Initial Supplement,"Embezzlement, Petty Theft",Embezzlement,IS,Embezzlement,10010,2
Coplogic Initial,Trespassing,Trespass,II,Other Miscellaneous,27195,2
Initial Supplement,"School Campus, Remaining Without Consent",Loitering,IS,Disorderly Conduct,19072,2
Initial Supplement,"Alcohol, Unlawful Transportation Of",Liquor Law Violation,IS,Liquor Laws,17130,2
Initial,"Vehicle, Recovered, Mobile Home or House Trailer",Recovered Vehicle,II,Recovered Vehicle,07044,2
Initial Supplement,Arson with Great Bodily Injury,Arson,IS,Arson,26038,2
Initial Supplement,"Heroin, Transportation",Drug Violation,IS,Drug Offense,16130,2
Initial Supplement,"Prescription, Forge Or Alter (11368 H&S)",Drug Violation,IS,Drug Offense,16720,2
Initial,"Telephone or Telegraph Messages, Altering",Fraud,II,Fraud,09266,2
Initial Supplement,Gambling,Gambling,IS,Gambling,66010,2
Initial Supplement,"Bathroom Hole, Looking through",Sex Offense,IS,Sex Offense,14042,2
Initial Supplement,"Public Nuisance, Maintaining After Notification",Disorderly Conduct,IS,Other Miscellaneous,27110,2
Vehicle Initial,"Driving, Reckless",Other,VI,Other Miscellaneous,65020,2
Initial Supplement,"Narcotics Addict, Failure To Register",Drug Violation,IS,Drug Offense,16750,2
Initial,"Robbery, Att., Bank, W/ Knife",Robbery - Commercial,II,Robbery,03462,2
Initial,"Theft, Phone Booth, >$950",,II,,06354,2
Initial Supplement,"Arson, Police Vehicle",Arson,IS,Arson,26034,2
Initial,"Sex Offender, Suspicious Occurrence",,II,,14025,2
Initial Supplement,"Phone Calls, Obscene",Sex Offense,IS,Sex Offense,14043,2
Vehicle Supplement,False Report of Felony or Misdemeanor,Other,VS,Other Miscellaneous,27060,2
Vehicle Initial,Opiates Offense,Drug Violation,VI,Drug Offense,16210,2
Initial,Barbiturates Offense,Drug Violation,II,Drug Offense,16550,2
Initial Supplement,"Telephone or Telegraph Messages, Altering",Fraud,IS,Fraud,09266,2
Vehicle Initial,Suspicious Occurrence,Suspicious Occ,VI,Suspicious Occ,64070,2
Initial,Massage Establishment Permit Violation,Other,II,Other Offenses,30011,2
Vehicle Supplement,Fire Report,Fire Report,VS,Fire Report,68000,2
Vehicle Initial,"Firearm, Loaded, in Vehicle, Possession or Use",Weapons Offense,VI,Weapons Carrying Etc,12168,2
Initial Supplement,"Riot, Inciting To",Disorderly Conduct,IS,Disorderly Conduct,19030,2
Initial Supplement,"Vehicle Alarm Code Grabbing Device, Possess or Use",Other,IS,Other Miscellaneous,07205,2
Initial Supplement,"Food Stamps, Misuse of",Fraud,IS,Fraud,09034,2
Vehicle Supplement,Fraudulent Use Of Automated Teller Card,Fraud,VS,Fraud,09250,2
Vehicle Initial,Auto Impounded,,VI,,64100,2
Initial Supplement,"Theft, Bicycle, <$50, no serial number",Larceny Theft - Bicycle,IS,Larceny Theft,06316,1
Initial,"Rape, Forcible, W/ Gun",Rape,II,Rape,02001,1
Initial Supplement,"Theft, Motorcycle Strip, Att.",Larceny - Auto Parts,IS,Larceny Theft,06210,1
Vehicle Initial,"Driving, Stunt Vehicle/Street Racing",,VI,,65021,1
Initial,"Rape, Att., W/ Sharp Object",Rape - Attempted,II,Rape,02202,1
Initial Supplement,"Permit Violation, Sidewalk Sales",Other,IS,Other Offenses,30006,1
Vehicle Supplement,"Battery, Of A Police Officer",Simple Assault,VS,Assault,04154,1
Vehicle Supplement,Post Release Community Supervision,Other,VS,Warrant,62072,1
Initial,Merchandise Title Document Fraud,Fraud,II,Fraud,09172,1
Vehicle Initial,"Robbery, Vehicle for Hire, Att., W/ Gun",Robbery - Commercial,VI,Robbery,03481,1
Initial Supplement,"Suicide By Strangulation/Hanging, Att.",Suicide,IS,Suicide,60090,1
Initial Supplement,"Endless Chain Schemes, Ponzi Schemes",Fraud,IS,Fraud,09023,1
Vehicle Supplement,"Warrant Arrest, Enroute To US Marshall",Warrant,VS,Warrant,62010,1
Vehicle Initial,"Robbery, Street or Public Place, W/ Other Weapon",Robbery - Street,VI,Robbery,03013,1
Initial Supplement,"Highway, Breaking Down or Removing Barrier, Sign, or Light",Other Offenses,IS,Other Offenses,68058,1
Vehicle Initial,"Assault, W/ Caustic Chemical to Injure or Disfigure",Aggravated Assault,VI,Assault,04033,1
Initial,Gaming & Horse Racing (general),Traffic Collision - Hit & Run,II,Traffic Collision,66060,1
Initial,Pyrotechnic Explosive Device - Barrel Bomb,,II,,12073,1
Vehicle Initial,"Theft, Trick And Device, Felony",Fraud,VI,Fraud,10115,1
Vehicle Supplement,"Theft, From Locked Vehicle, $50-$200",Larceny - From Vehicle,VS,Larceny Theft,06242,1
Initial,"Amphetamine, Sale",Drug Violation,II,Drug Offense,16644,1
Vehicle Supplement,"Robbery, W/ Force",Robbery - Other,VS,Robbery,03074,1
Vehicle Initial,"Burglary, Warehouse, Unlawful Entry",Burglary - Commercial,VI,Burglary,05063,1
Initial Supplement,Threat to State Official or Judge,Intimidation,IS,Other Miscellaneous,26211,1
Initial Supplement,Phone Calls in Violation of DVU Court Order,Other,IS,Offences Against The Family And Children,15153,1
Vehicle Supplement,"Assault, Aggravated, On Police Off., W/ Other Weapon",Aggravated Assault,VS,Assault,04073,1
Initial,"Alcohol, Sale Of After Hours",Liquor Law Violation,II,Liquor Laws,17070,1
Vehicle Supplement,"Theft, Lost Property, Grand",Larceny Theft - Other,VS,Larceny Theft,26145,1
Initial,False Report of Police Misconduct,Other,II,Other Miscellaneous,27067,1
Initial,Obscene Or Lewd Plays/Performances,Disorderly Conduct,II,Disorderly Conduct,19040,1
Vehicle Initial,"Theft, Lost Property, Petty",Larceny Theft - Other,VI,Larceny Theft,27090,1
Vehicle Supplement,"Burglary, Warehouse, Forcible Entry",Burglary - Commercial,VS,Burglary,05061,1
Initial Supplement,"Sexual Assault, Administering Drug to Commit",Simple Assault,IS,Assault,04146,1
Initial Supplement,"Rape, Forcible, W/ Other Weapon",Rape,IS,Rape,02003,1
Initial Supplement,"Embezzlement, Grand Theft By Property Carrier",Embezzlement,IS,Embezzlement,10055,1
Initial Supplement,Incest,Sex Offense,IS,Sex Offense,14030,1
Vehicle Supplement,"Theft, From Unlocked Vehicle, >$950",Larceny - From Vehicle,VS,Larceny Theft,06224,1
Vehicle Initial,"Robbery, Residence, W/ Force",Robbery - Commercial,VI,Robbery,03054,1
Vehicle Initial,Search Warrant Service,Non-Criminal,VI,Non-Criminal,75025,1
Initial Supplement,"Robbery, Service Station, W/ Knife",Robbery - Commercial,IS,Robbery,03032,1
Initial Supplement,Soliciting or Engaging In Lewd Conduct,Prostitution,IS,Prostitution,13111,1
Vehicle Initial,Post Release Community Supervision,Other,VI,Warrant,62072,1
Vehicle Supplement,Lost Property,Lost Property,VS,Lost Property,71000,1
Initial,"Embezzlement, Petty Theft By Property Carrier",Embezzlement,II,Embezzlement,10050,1
Initial Supplement,"Aided Case, Sick Person",Other,IS,Non-Criminal,64030,1
Initial Supplement,SFMTA Muni Transit Operator-Bus/LRV,,IS,,74020,1
Initial Supplement,"Marijuana, Furnishing",Drug Violation,IS,Drug Offense,16050,1
Initial,"Suicide By Fire, Att.",Suicide,II,Suicide,60040,1
Vehicle Initial,"Traffic Collision, Hit & Run, Injury",Traffic Collision - Hit & Run,VI,Traffic Collision,68069,1
Initial,"Rape, Assault To, W/ Gun",Rape - Attempted,II,Rape,02101,1
Vehicle Initial,"Marijuana, Possession For Sale",Drug Violation,VI,Drug Offense,16030,1
Vehicle Supplement,"Methamphetamine, Possession For Sale",Drug Violation,VS,Drug Offense,16652,1
Initial,"Hazardous Materials, Spill Load",Non-Criminal,II,Non-Criminal,71015,1
Initial,Gun Violence Restraining Order Violation,,II,,15165,1
Vehicle Initial,"Firearm, Possession of Loaded",Weapons Offense,VI,Weapons Carrying Etc,12100,1
Vehicle Supplement,"Controlled Substance, Possession For Sale",Drug Violation,VS,Drug Offense,16662,1
Vehicle Supplement,Marijuana Offense,Drug Violation,VS,Drug Offense,16010,1
Initial Supplement,"Burglary, Safe,  Warehouse",Burglary - Commercial,IS,Burglary,05261,1
Vehicle Supplement,"Assault, Aggravated, W/ Force",Aggravated Assault,VS,Assault,04014,1
Vehicle Supplement,"Robbery, W/ Other Weapon",Robbery - Other,VS,Robbery,03073,1
Initial Supplement,"Theft of Other Property, Att.",Larceny Theft - Other,IS,Larceny Theft,06370,1
Initial Supplement,"Opium, Possession For Sale",Drug Violation,IS,Drug Offense,16612,1
Initial Supplement,"Letters, Opening Sealed",Other,IS,Malicious Mischief,28170,1
Initial,"Methadone, Sale",Drug Violation,II,Drug Offense,16634,1
Vehicle Supplement,"Theft, Boat",,VS,,06377,1
Vehicle Initial,"Vehicle, Recovered, Bus",Recovered Vehicle,VI,Recovered Vehicle,07042,1
Initial Supplement,"Firearm Silencer, Possession",Weapons Offense,IS,Weapons Carrying Etc,12090,1
Initial Supplement,"Counterfeiting, Coins Or Notes",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09210,1
Initial Supplement,"Robbery, Vehicle for Hire, Att., W/ Force",Robbery - Commercial,IS,Robbery,03484,1
Initial Supplement,"Suicide, Attempted",Suicide,IS,Suicide,60010,1
Initial,"Robbery, Service Station, W/ Knife",Robbery - Commercial,II,Robbery,03032,1
Vehicle Supplement,"Burglary, Residence Under Constr, Unlawful Entry",Burglary - Residential,VS,Burglary,05143,1
Initial,Homicide By Sniping,Homicide,II,Homicide,01005,1
Vehicle Initial,Fire Report,Fire Report,VI,Fire Report,68000,1
Vehicle Initial,"Suspicious Occurrence, possible Shots Fired",Suspicious Occ,VI,Suspicious Occ,64072,1
Initial,"Dog, Fighting;  Owning, Fighting, or Attending Fight",Other,II,Non-Criminal,64018,1
Initial Supplement,"Theft, Phone Booth, $200-$950",,IS,,06353,1
Vehicle Initial,"Theft, From Person, $50-$200 (other than Pickpocket)",Larceny Theft - Other,VI,Larceny Theft,06152,1
Initial Supplement,Trespassing On Railroad Trains,Trespass,IS,Other Miscellaneous,27200,1
Vehicle Supplement,Terrorist Threats,Intimidation,VS,Disorderly Conduct,19057,1
Initial Supplement,"Permit Violation, Dance Hall",Other,IS,Other Offenses,30110,1
Initial Supplement,"Embezzlement, Grand Theft Private Property",Embezzlement,IS,Embezzlement,10075,1
Initial Supplement,"Trade Secrets, Theft or Unauthorized Copying",Larceny Theft - Other,IS,Larceny Theft,06397,1
Initial,"Homicide, Drive-by",Homicide,II,Homicide,01007,1
Coplogic Initial,"Theft, Shoplifting, <$50",Larceny Theft - Shoplifting,II,Larceny Theft,06361,1
Vehicle Initial,Restraining Order Notification/Service of Restraining Order,Other,VI,Offences Against The Family And Children,15155,1
Vehicle Supplement,Miscellaneous Investigation,Miscellaneous Investigation,VS,Miscellaneous Investigation,68020,1
Initial,Incest,Sex Offense,II,Sex Offense,14030,1
Vehicle Initial,"Firearm, Possession By Prohibited Person",Weapons Offense,VI,Weapons Carrying Etc,12080,1
Vehicle Initial,Violation of Restraining Order,Other,VI,Offences Against The Family And Children,15161,1
Coplogic Initial,"Traffic Collision, Hit & Run, Property Damage",Traffic Collision - Hit & Run,II,Traffic Collision,68060,1
Initial,Accidental Burns,Non-Criminal,II,Non-Criminal,51010,1
Vehicle Initial,Driving While Under The Influence Of Drugs,Liquor Law Violation,VI,Other Miscellaneous,65060,1
Vehicle Supplement,Violation of Restraining Order,Other,VS,Offences Against The Family And Children,15161,1
Initial,"Trade Secrets, Theft or Unauthorized Copying",Larceny Theft - Other,II,Larceny Theft,06397,1
Initial Supplement,"Weapon, Possess or Bring Other on School Grounds",Weapons Offense,IS,Weapons Carrying Etc,12163,1
Vehicle Initial,Liquor Law Violation (general),Liquor Law Violation,VI,Liquor Laws,17030,1
Vehicle Supplement,Suspicious Occurrence,Suspicious Occ,VS,Suspicious Occ,64070,1
Initial,"Rape, Att., W/ Gun",Rape - Attempted,II,Rape,02201,1
Vehicle Initial,"Counterfeit/Forgery, Poss Drivers Lic Or Id Card",Forgery And Counterfeiting,VI,Forgery And Counterfeiting,09125,1
Initial,"Amphetamine, Transportation",Drug Violation,II,Drug Offense,16646,1
Initial Supplement,"Interfering, W/ Police Officer",Other,IS,Other Miscellaneous,27080,1
Vehicle Supplement,"Theft, From Unlocked Vehicle, $200-$950",Larceny - From Vehicle,VS,Larceny Theft,06223,1
Initial Supplement,"Alcohol, Furnish or Sell to Intox. Person",Liquor Law Violation,IS,Liquor Laws,17110,1
Initial,"Robbery, Vehicle for Hire, Att., W/ Force",Robbery - Commercial,II,Robbery,03484,1
Vehicle Initial,"Robbery,  ATM, Gun",Robbery - Other,VI,Robbery,03091,1
Initial Supplement,"Prescription, Forge Or Alter (4390 B&P)",Drug Violation,IS,Drug Offense,16730,1
Initial,Sale or Manufacture of Deceptive ID,Fraud,II,Fraud,09263,1
Vehicle Initial,"Checks, Money Orders, Completed, Fraudulent Possession",Fraud,VI,Fraud,09040,1
Initial,"Burglary, Safe, Warehouse, with Explosives",Burglary - Commercial,II,Burglary,05361,1
Initial Supplement,"Theft, Purse Snatch, $50-$200",Larceny Theft - Purse Snatch,IS,Larceny Theft,06132,1
Initial,Suicide By Fire,Suicide,II,Suicide,60140,1
Vehicle Supplement,"Cocaine, Base/rock Offense",Drug Violation,VS,Drug Offense,16621,1
Vehicle Supplement,"Malicious Mischief, Graffiti, Real or Personal Property",Vandalism,VS,Malicious Mischief,28165,1
Initial Supplement,"Burglary, Safe, Other, with Explosives",Burglary - Other,IS,Burglary,05371,1
Initial Supplement,Accidental Lacerations,Non-Criminal,IS,Non-Criminal,51020,1
Vehicle Initial,"Sex Offender, Failure To Register for Sexual Assault of Adult",Sex Offense,VI,Sex Offense,14020,1
Initial,"Theft, Motorcycle Strip, <$50",Larceny - Auto Parts,II,Larceny Theft,06211,1
Vehicle Supplement,"Firearm, Possession By Prohibited Person",Weapons Offense,VS,Weapons Carrying Etc,12080,1
Vehicle Supplement,False Personation,Fraud,VS,Fraud,09027,1
Initial Supplement,"Permit Violation, Police (general)",Other,IS,Other Offenses,30000,1
Initial Supplement,"Rape, Att., W/ Gun",Rape - Attempted,IS,Rape,02201,1
Initial Supplement,"Explosives, Illegal Transportation",Weapons Offense,IS,Weapons Carrying Etc,12150,1
Initial,"Permit Violation, Advertising Distributors",Other,II,Other Offenses,30010,1
Initial Supplement,"Theft, Pickpocket, Attempted",Larceny Theft - Pickpocket,IS,Larceny Theft,06110,1
Initial Supplement,"Theft, Purse Snatch, Att.",Larceny Theft - Purse Snatch,IS,Larceny Theft,06130,1
Vehicle Supplement,"Cocaine, Base/rock, Possession For Sale",Drug Violation,VS,Drug Offense,16623,1
Initial Supplement,Terrorizing by Interfering with Religious Worship,Intimidation,IS,Offences Against The Family And Children,15302,1
Vehicle Initial,"Embezzlement, Grand Theft Private Property",Embezzlement,VI,Embezzlement,10075,1
Initial Supplement,"Malicious Mischief, Building Under Constr.",Vandalism,IS,Malicious Mischief,28120,1
Vehicle Initial,"Weapon, Carrying Concealed",Weapons Offense,VI,Weapons Offense,12015,1
Initial,"Lodging, Registering w/False Name",Other,II,Other Offenses,30206,1
Initial Supplement,Amphetamines Offense,Drug Violation,IS,Drug Offense,16640,1
Initial,"Assault, Att. Mayhem, W/ Gun",Aggravated Assault,II,Assault,04051,1
Vehicle Initial,"Access Card, Possession of Lost or Stolen, with Intent to Use, Transfer, or Sell",Fraud,VI,Fraud,09310,1
Vehicle Supplement,"Firearm, Carrying Loaded with Intent to Commit Felony",Weapons Offense,VS,Weapons Carrying Etc,12166,1
Initial Supplement,"Cable TV Connection or Decoding Device, Unauthorized",Fraud,IS,Fraud,09265,1
Initial,Escape of Prisoner From Hospital,Other,II,Other Miscellaneous,27050,1
Initial,"Sexual Assault, Involving Sex Offender",,II,,04148,1
Initial Supplement,"Theft, Motorcycle Strip, >$950",Larceny - Auto Parts,IS,Larceny Theft,06214,1
Initial,"Stolen Metals, Receiving",Stolen Property,II,Stolen Property,11011,1
Initial Supplement,"School or Playground, Loitering About",Loitering,IS,Disorderly Conduct,19077,1
Initial Supplement,Crimes Involving Receipts or Titles,,IS,,09171,1
Vehicle Supplement,"Theft, Vehicle Strip, $200-$950",Larceny - Auto Parts,VS,Larceny Theft,06233,1
Initial,"Robbery, Vehicle for Hire, Att., W/ Other Weapon",Robbery - Commercial,II,Robbery,03483,1
Initial,"Embezzlement, Grand Theft Public/Private Official",Embezzlement,II,Embezzlement,10085,1
Initial,"Citizenship Document, Using False",Fraud,II,Fraud,09176,1
Initial,Scalping Tickets,Other,II,Other Offenses,30131,1
Vehicle Initial,"Heroin, Possession For Sale",Drug Violation,VI,Drug Offense,16110,1
Vehicle Supplement,Forgery & Counterfeiting (general),Forgery And Counterfeiting,VS,Forgery And Counterfeiting,09262,1
Initial Supplement,"Probation Violation, DVU related",Other,IS,Offences Against The Family And Children,15152,1
Initial Supplement,"Forgery, Government Or Corporate Seals",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09140,1
Initial,Sale of Satellite Telephone Numbers,Other,II,Other Miscellaneous,27165,1
Initial,"Guide Dog, Interfering with",Other,II,Non-Criminal,64013,1
Initial,"Barbiturates, Transportation",Drug Violation,II,Drug Offense,16540,1
Vehicle Supplement,"Assault, Aggravated, W/ Gun",Aggravated Assault,VS,Assault,04092,1
Initial,"Death, Non-manslaughter Vehicle Accident",Other,II,Other,61020,1
Initial,"Rape, Forcible, W/ Sharp Object",Rape,II,Rape,02002,1
Vehicle Initial,"Theft, From Unlocked Vehicle, $50-$200",Larceny - From Vehicle,VI,Larceny Theft,06222,1
Initial Supplement,"Cocaine, Transportation",Drug Violation,IS,Drug Offense,16626,1
Initial Supplement,"Balloons, Electrically Conductive",Vandalism,IS,Malicious Mischief,28103,1
Initial Supplement,Suicide By Ingestion,Suicide,IS,Suicide,60160,1
Initial Supplement,Safekeeping Property (Pierce's Pledge),,IS,,73002,1
Vehicle Supplement,"Firearm, Possession of Loaded",Weapons Offense,VS,Weapons Carrying Etc,12100,1
Initial,Arson with Great Bodily Injury,Arson,II,Arson,26038,1
Initial Supplement,Escape of Prisoner From Hospital,Other,IS,Other Miscellaneous,27050,1
Initial Supplement,Violation of Civil Gang Injunction,Other,IS,Offences Against The Family And Children,15163,1
Vehicle Initial,"Assault, Aggravated, On Police Officer, W/ Force",Aggravated Assault,VI,Assault,04074,1
Vehicle Initial,False Imprisonment,Kidnapping,VI,Other Miscellaneous,26142,1
Vehicle Initial,"Burglary, Vehicle (Arrest made)",Theft From Vehicle,VI,Larceny Theft,05014,1
Vehicle Supplement,"Burglary, Flat, Forcible Entry",Burglary - Residential,VS,Burglary,05021,1
Initial,"Fighting Dog or Animal, Biting or Causing  Injury or Death",Other,II,Non-Criminal,64014,1
Vehicle Supplement,Embezzlement from Dependent or Elder Adult by Caretaker,Larceny Theft - Other,VS,Larceny Theft,06381,1
Vehicle Supplement,Suspicious Vehicle,Suspicious Occ,VS,Suspicious Occ,64065,1
Vehicle Initial,"Weapon, Carrying Concealed with Felony or Narcotics Conviction",Weapons Offense,VI,Weapons Offense,12010,1
Initial Supplement,"Driving, Drag Racing",Arrest,IS,Other Miscellaneous,65013,1
Initial Supplement,Money Laundering,Fraud,IS,Fraud,09022,1
Vehicle Initial,"Controlled Substance, Possession For Sale",Drug Violation,VI,Drug Offense,16662,1
Initial,"Assault, Aggravated, W/ Machine Gun",Aggravated Assault,II,Assault,04090,1
Initial,Hotel Violations,Other,II,Other Offenses,30205,1
Initial Supplement,Pyrotechnic Explosive Device - Barrel Bomb,,IS,,12073,1
Vehicle Supplement,"Fraudulent Game or Trick, Obtaining Money or Property",Fraud,VS,Fraud,09024,1
Initial,"Assault, By Police Officers",,II,,04164,1
Vehicle Supplement,Theft of Animals (general),Larceny Theft - Other,VS,Larceny Theft,06400,1
Initial Supplement,"Theft, Phone Booth, >$950",,IS,,06354,1
Initial,"Suicide By Drowning, Att.",Suicide,II,Suicide,60030,1
Vehicle Initial,"Identification Card or Drivers License, Falsify or Display",Forgery And Counterfeiting,VI,Forgery And Counterfeiting,09120,1
Initial Supplement,"Theft, Catalytic Converter",,IS,,06235,1
Initial Supplement,"Weapon, Possessing in Public Building or Open Meeting",Weapons Offense,IS,Weapons Carrying Etc,12161,1
Vehicle Initial,"Weapon, Tear Gas, Possession by Prohibited Persons",Weapons Offense,VI,Weapons Carrying Etc,12130,1
Vehicle Supplement,"Cocaine, Base/rock, Sale",Drug Violation,VS,Drug Offense,16625,1
Initial Supplement,"Bombing, Police Vehicle",,IS,,12004,1
Initial Supplement,"Homicide, Drive-by",Homicide,IS,Homicide,01007,1
Initial Supplement,Megan's Law Notification,Other,IS,Offences Against The Family And Children,15097,1
Initial Supplement,"Robbery, Att., Service Station W/ Other Weapon",Robbery - Commercial,IS,Robbery,03433,1
Initial Supplement,"Barbiturates, Possession",Drug Violation,IS,Drug Offense,16510,1
Vehicle Supplement,Violation of Stay Away Order,Other,VS,Offences Against The Family And Children,15162,1
Vehicle Initial,"Electrical  or Gas Lines, Interfering with",Vandalism,VI,Malicious Mischief,28102,1
Vehicle Initial,Methadone Offense,Drug Violation,VI,Drug Offense,16630,1
Initial Supplement,"Theft, Vehicle Strip, $50-$200",Larceny - Auto Parts,IS,Larceny Theft,06232,1
Vehicle Supplement,"Air Gun, Possession",Other,VS,Other Offenses,30140,1
Initial Supplement,"Burglary, Apt Under Constr., Att. Forcible",Burglary - Residential,IS,Burglary,05112,1
Initial Supplement,"Highway, Injuring",Other Offenses,IS,Other Offenses,68056,1
Initial Supplement,Trespass within 30 days of Credible Threat,Disorderly Conduct,IS,Disorderly Conduct,19058,1
Vehicle Initial,"Switchblade Knife, Possession",Weapons Offense,VI,Weapons Carrying Etc,12164,1
Initial Supplement,"Telephone or Telegraph Message, Sending False",Fraud,IS,Fraud,09163,1
Coplogic Supplement,"Computer System, Accessing, Copying, or Damaging",Fraud,IS,Fraud,09264,1
Initial Supplement,Littering or Dumping that Creates Traffic Hazard,Other,IS,Other Miscellaneous,27040,1
Initial Supplement,"Assault, Mayhem, W/ Gun",Aggravated Assault,IS,Assault,04061,1
Initial Supplement,"Theft, Drunk Roll, $200-$950",Larceny Theft - Other,IS,Larceny Theft,06123,1
Initial,"Theft, Grand, Agricultural",Larceny Theft - Other,II,Larceny Theft,06385,1
Vehicle Supplement,"Robbery, Street or Public Place, W/ Gun",Robbery - Street,VS,Robbery,03011,1
