ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,STORE UNCLASSIFIED,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",0,7
FRAUDULENT ACCOSTING,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ACCOSTING,FRAUDULENT",0,7
HARRASSMENT 2,VIOLATION,(null),N.Y. POLICE DEPT,FERRY/FERRY TERMINAL,"HARASSMENT,SUBD 3,4,5",0,7
DANGEROUS WEAPONS,MISDEMEANOR,(null),N.Y. STATE POLICE,STREET,"WEAPONS, POSSESSION, ETC",11,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,PUBLIC SCHOOL,"ROBBERY,COMMERCIAL UNCLASSIFIED",0,7
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,MOBILE FOOD,"HARASSMENT,SUBD 1,CIVILIAN",0,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,BANK,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",0,7
SEX CRIMES,FELONY,INSIDE,N.Y. POLICE DEPT,PUBLIC BUILDING,OBSCENE MATERIAL - UNDER 17 YE,0,7
ROBBERY,FELONY,REAR OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),"ROBBERY,NECKCHAIN/JEWELRY",0,7
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"ROBBERY,DELIVERY PERSON",0,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,DEPARTMENT STORE,"ROBBERY,NECKCHAIN/JEWELRY",0,7
CHILD ABANDONMENT/NON SUPPORT,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,CHILD ABANDONMENT,0,7
GRAND LARCENY,FELONY,INSIDE,METRO NORTH,TRANSIT FACILITY (OTHER),"LARCENY,GRAND BY THEFT OF CREDIT CARD",15,7
HARRASSMENT 2,VIOLATION,REAR OF,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"HARASSMENT,SUBD 3,4,5",0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. POLICE DEPT,BOOK/CARD,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,FRONT OF,N.Y. POLICE DEPT,MAILBOX OUTSIDE,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,RECKLESS ENDANGERMENT 1,0,7
CRIMINAL TRESPASS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,SMALL MERCHANT,"TRESPASS 3, CRIMINAL",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,MARINA/PIER,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,7
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"ROBBERY,OPEN AREA UNCLASSIFIED",0,7
ARSON,FELONY,REAR OF,OTHER,PARKING LOT/GARAGE (PRIVATE),"ARSON, MOTOR VEHICLE 1 2 3 & 4",97,7
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,HOMELESS SHELTER,AGGRAVATED CRIMINAL CONTEMPT,0,7
THEFT-FRAUD,FELONY,(null),N.Y. POLICE DEPT,HIGHWAY/PARKWAY,"FRAUD,UNCLASSIFIED-FELONY",0,7
ROBBERY,FELONY,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"ROBBERY,CLOTHING",2,7
DANGEROUS DRUGS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,"CONTROLLED SUBSTANCE, POSSESSI",0,7
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,FOOD SUPERMARKET,"LARCENY,PETIT OF LICENSE PLATE",0,7
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,BRIDGE,"HARASSMENT,SUBD 3,4,5",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,(null),RECKLESS ENDANGERMENT OF PROPE,0,7
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,(null),N.Y. POLICE DEPT,TAXI (YELLOW LICENSED),AGGRAVATED HARASSMENT 2,0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,GYM/FITNESS FACILITY,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,REAR OF,OTHER,RESIDENCE-HOUSE,RECKLESS ENDANGERMENT OF PROPE,97,7
OFFENSES AGAINST THE PERSON,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,OTHER,"IMPRISONMENT 2,UNLAWFUL",0,7
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,BANK,"ROBBERY,BANK",0,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,PORT AUTHORITY,STREET,"LARCENY,PETIT BY FALSE PROMISE",3,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,CONSTRUCTION SITE,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,VARIETY STORE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,7
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,7
DANGEROUS WEAPONS,FELONY,(null),N.Y. TRANSIT POLICE,BUS (NYC TRANSIT),WEAPONS POSSESSION 3,1,7
MISCELLANEOUS PENAL LAW,FELONY,REAR OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),CRIMINAL CONTEMPT 1,0,7
RAPE,FELONY,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,RAPE 2,0,7
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"ROBBERY,ATM LOCATION",0,7
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,TUNNEL,AGGRAVATED HARASSMENT 2,0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,CONSTRUCTION SITE,AGGRAVATED HARASSMENT 1,0,7
GRAND LARCENY,FELONY,INSIDE,HEALTH & HOSP CORP,HOSPITAL,"LARCENY,GRAND BY THEFT OF CREDIT CARD",14,7
OTHER STATE LAWS (NON PENAL LA,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,GROCERY/BODEGA,TAX LAW,0,7
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,HOTEL/MOTEL,"ROBBERY,NECKCHAIN/JEWELRY",0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,7
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"LARCENY,PETIT BY ACQUIRING LOS",2,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,BEAUTY & NAIL SALON,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,CRIMINAL CONTEMPT 1,0,7
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,TORTURE/INJURE ANIMAL CRUELTY,0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"LARCENY,GRAND BY THEFT OF CREDIT CARD",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,PETIT OF VEHICLE ACCES",0,7
SEX CRIMES,FELONY,(null),N.Y. POLICE DEPT,RESIDENCE-HOUSE,SEXUAL ABUSE,0,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,STORAGE FACILITY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,7
GRAND LARCENY OF MOTOR VEHICLE,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,HIGHWAY/PARKWAY,"LARCENY,GRAND OF AUTO",0,7
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,OTHER,"LARCENY,GRAND BY THEFT OF CREDIT CARD",0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,PUBLIC BUILDING,AGGRAVATED HARASSMENT 1,0,7
OTHER STATE LAWS (NON PENAL LA,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"NY STATE LAWS,UNCLASSIFIED MIS",0,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"LARCENY,PETIT OF VEHICLE ACCES",0,7
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DEPARTMENT STORE,FALSE REPORT UNCLASSIFIED,0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,PARK/PLAYGROUND,"LARCENY,GRAND FROM PERSON,PURS",0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,FAST FOOD,"MENACING,UNCLASSIFIED",0,7
FORGERY,FELONY,INSIDE,N.Y. STATE POLICE,COMMERCIAL BUILDING,"FORGERY,ETC.,UNCLASSIFIED-FELO",11,7
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,PHOTO/COPY,"HARASSMENT,SUBD 3,4,5",0,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,OTHER,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",0,7
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,FAST FOOD,"LARCENY,PETIT BY ACQUIRING LOS",0,7
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,PORT AUTHORITY,BUS TERMINAL,"IMPERSONATION 1, POLICE OFFICE",3,7
MISCELLANEOUS PENAL LAW,FELONY,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,MENACING 1ST DEGREE (VICT NOT,0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,OTHER,RECKLESS ENDANGERMENT OF PROPE,0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,MARINA/PIER,"MENACING,UNCLASSIFIED",0,7
GRAND LARCENY,FELONY,INSIDE,OTHER,OTHER,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",97,7
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,COLLEGE/UNIVERSITY,RECKLESS ENDANGERMENT 1,0,7
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"BURGLARY,RESIDENCE,UNKNOWN TIM",0,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,"ROBBERY, CHAIN STORE",0,7
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STORAGE FACILITY,"SEXUAL ABUSE 3,2",0,7
FORGERY,FELONY,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"FORGERY,DRIVERS LICENSE",0,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,HOTEL/MOTEL,"CONTROLLED SUBSTANCE,SALE 1",0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),UNAUTHORIZED USE VEHICLE 2,0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,RESTAURANT/DINER,"LARCENY,GRAND BY DISHONEST EMP",0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),"LARCENY,GRAND FROM TRUCK, UNATTENDED",0,7
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,BUS TERMINAL,"HARASSMENT,SUBD 1,CIVILIAN",0,7
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,TAXI (YELLOW LICENSED),"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,7
RAPE,FELONY,(null),N.Y. POLICE DEPT,HOTEL/MOTEL,RAPE 1,0,7
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,CONSTRUCTION SITE,"BURGLARY, TRUCK UNKNOWN TIME",0,7
FRAUDULENT ACCOSTING,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,FERRY/FERRY TERMINAL,"ACCOSTING,FRAUDULENT",0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. POLICE DEPT,TAXI (LIVERY LICENSED),OBSTR BREATH/CIRCUL,0,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"MARIJUANA, SALE 1, 2 & 3",0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STORAGE FACILITY,VIOLATION OF ORDER OF PROTECTI,0,7
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,TRANSIT FACILITY (OTHER),"ASSAULT 2,1,UNCLASSIFIED",0,7
BURGLARY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,OTHER,"BURGLARY,COMMERCIAL,NIGHT",0,7
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),"CONTROLLED SUBSTANCE,SALE 1",0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,FOOD SUPERMARKET,"LARCENY,GRAND FROM PERSON,PURS",0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,DEPARTMENT STORE,RESISTING ARREST,0,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,BUS TERMINAL,"LARCENY,PETIT FROM OPEN AREAS,",0,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",0,7
OFFENSES INVOLVING FRAUD,MISDEMEANOR,FRONT OF,PORT AUTHORITY,HIGHWAY/PARKWAY,"FORGERY,ETC.-MISD.",3,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,NEW YORK CITY SHERIFF OFFICE,RESIDENCE - APT. HOUSE,VIOLATION OF ORDER OF PROTECTI,87,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,PRIVATE/PAROCHIAL SCHOOL,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",0,7
ROBBERY,FELONY,FRONT OF,N.Y. HOUSING POLICE,STREET,"ROBBERY,PERSONAL ELECTRONIC DEVICE",2,7
DANGEROUS WEAPONS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,BUS STOP,"WEAPONS, POSSESSION, ETC",0,7
CRIMINAL TRESPASS,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,(null),"TRESPASS 2, CRIMINAL",1,7
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,FACTORY/WAREHOUSE,"BURGLARY,RESIDENCE,DAY",0,7
PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"LARCENY, PETIT OF MOPED",0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. POLICE DEPT,TRANSIT FACILITY (OTHER),"MISCHIEF,CRIMINAL,    UNCL 2ND",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PRIVATE/PAROCHIAL SCHOOL,"LARCENY,PETIT BY DISHONEST EMP",0,7
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"BURGLARY,RESIDENCE,DAY",0,7
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,HOSPITAL,MATERIAL              OFFENSIV,0,7
SEX CRIMES,FELONY,INSIDE,OTHER,HOMELESS SHELTER,SODOMY 1,97,7
PETIT LARCENY,MISDEMEANOR,INSIDE,PORT AUTHORITY,VARIETY STORE,"LARCENY,PETIT FROM STORE-SHOPL",3,7
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",0,7
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,CONSTRUCTION SITE,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,7
DANGEROUS DRUGS,FELONY,INSIDE,PORT AUTHORITY,BUS TERMINAL,"CONTROLLED SUBSTANCE, POSSESSI",3,7
ARSON,FELONY,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"ARSON 2,3,4",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,REAL ESTATE,"LARCENY,PETIT BY DISHONEST EMP",0,7
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,HOTEL/MOTEL,"LARCENY,PETIT OF BICYCLE",0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. POLICE DEPT,TUNNEL,CRIMINAL MIS 2 & 3,0,7
DANGEROUS DRUGS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"MARIJUANA, SALE 4 & 5",0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,HOTEL/MOTEL,"PUBLIC ADMINISTATION,UNCLASS M",0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,ATM,"LARCENY,GRAND BY EXTORTION",0,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,BANK,"LARCENY,PETIT BY CREDIT CARD U",0,7
FRAUDS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"CHECK,BAD",0,7
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,BANK,"CHILD, ENDANGERING WELFARE",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,STORAGE FACILITY,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,7
DANGEROUS WEAPONS,FELONY,FRONT OF,N.Y. POLICE DEPT,CANDY STORE,WEAPONS POSSESSION 3,0,7
DANGEROUS DRUGS,MISDEMEANOR,(null),N.Y. POLICE DEPT,ABANDONED BUILDING,"CONTROLLED SUBSTANCE, POSSESSI",0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,BUS (NYC TRANSIT),"MISCHIEF, CRIMINAL 3 & 2, OF M",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,FALSE ALARM FIRE,0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,PORT AUTHORITY,COMMERCIAL BUILDING,RESISTING ARREST,3,7
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. POLICE DEPT,LIQUOR STORE,"CONTROLLED SUBSTANCE,INTENT TO",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. STATE POLICE,STORE UNCLASSIFIED,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",11,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,ATM,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",0,7
FORGERY,FELONY,REAR OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"FORGERY,ETC.,UNCLASSIFIED-FELO",0,7
FRAUDULENT ACCOSTING,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,"ACCOSTING,FRAUDULENT",0,7
CRIMINAL TRESPASS,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"TRESPASS 3, CRIMINAL",0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,CHURCH,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",0,7
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,DRUG STORE,STRANGULATION 1ST,0,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,OTHER,RESIDENCE-HOUSE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",97,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,ATM,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",0,7
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,LIQUOR STORE,ASSAULT POLICE/PEACE OFFICER,0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"TAMPERING 3,2, CRIMINAL",0,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,HOSPITAL,"CONTROLLED SUBSTANCE,SALE 1",0,7
GRAND LARCENY,FELONY,INSIDE,PORT AUTHORITY,BUS TERMINAL,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",3,7
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,OTHER,PUBLIC SCHOOL,RECKLESS ENDANGERMENT 1,97,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,BRIDGE,"LARCENY,GRAND PERSON,NECK CHAI",0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,BUS (NYC TRANSIT),"LARCENY,GRAND PERSON,NECK CHAI",0,7
CHILD ABANDONMENT/NON SUPPORT,FELONY,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,CHILD ABANDONMENT,2,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"ROBBERY,CLOTHING",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"MISCHIEF, CRIMINAL 4, BY FIRE",0,7
OFFENSES RELATED TO CHILDREN,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STORE UNCLASSIFIED,"CHILD,ALCOHOL SALE TO",0,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,(null),"LARCENY,PETIT FROM TRUCK",0,7
NYS LAWS-UNCLASSIFIED VIOLATION,VIOLATION,(null),N.Y. POLICE DEPT,STREET,INAPPROPIATE SHELTER DOG LEFT,0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,DRUG STORE,ASSAULT 3,0,7
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,OTHER,"SEXUAL MISCONDUCT,DEVIATE",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,BUS (NYC TRANSIT),"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,7
FELONY ASSAULT,FELONY,(null),N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,"ASSAULT 2,1,UNCLASSIFIED",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,OTHER,DRUG STORE,"LARCENY,PETIT FROM STORE-SHOPL",97,7
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,OTHER,HOMELESS SHELTER,"LEWDNESS,PUBLIC",97,7
OFFENSES AGAINST THE PERSON,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,OTHER,COERCION 2,0,7
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,FRONT OF,N.Y. STATE PARKS,STREET,"TRAFFIC,UNCLASSIFIED MISDEMEAN",12,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"ROBBERY,CLOTHING",0,7
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,GYM/FITNESS FACILITY,"LARCENY,PETIT FROM AUTO",0,7
ALCOHOLIC BEVERAGE CONTROL LAW,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,ALCOHOLIC BEVERAGE CONTROL LAW,0,7
BURGLARY,FELONY,(null),NYC PARKS,PARK/PLAYGROUND,"BURGLARY,TRUCK DAY",88,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,OTHER,HOMELESS SHELTER,"MENACING,UNCLASSIFIED",97,7
DANGEROUS DRUGS,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,OTHER,"CONTROLLED SUBSTANCE, SALE 5",0,7
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",0,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,BANK,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",0,7
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,STORAGE FACILITY,"BURGLARY,COMMERCIAL,UNKNOWN TI",0,7
ARSON,FELONY,INSIDE,OTHER,CHURCH,"ARSON 2,3,4",97,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",0,7
GRAND LARCENY,FELONY,(null),NYC PARKS,PARK/PLAYGROUND,"LARCENY,GRAND OF BICYCLE",88,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,REAL ESTATE,"LARCENY,GRAND BY THEFT OF CREDIT CARD",0,7
FELONY ASSAULT,FELONY,INSIDE,METRO NORTH,TRANSIT FACILITY (OTHER),ASSAULT POLICE/PEACE OFFICER,15,7
BURGLARY,FELONY,(null),N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"BURGLARY,COMMERCIAL,NIGHT",0,7
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,SHOE,"BURGLARY,COMMERCIAL,NIGHT",0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,AMTRACK,TRANSIT FACILITY (OTHER),"MENACING,UNCLASSIFIED",7,7
